Store Name,Full Address,ZIP Code,Town
Basel - Burgfelder,"Burgfelderstrasse 11, 4055 Basel",4055,Basel
Basel - Claramarkt,"Untere Rebgasse 11, 4058 Basel",4058,Basel
Basel - Drachen-Center,"Aeschenvorstadt 24, 4051 Basel",4051,Basel
Basel - Dreispitz MParc,"Münchensteinerstrasse 200, 4053 Basel",4053,Basel
Basel - Efringer,"Efringerstrasse 32, 4057 Basel",4057,Basel
Basel - Eglisee,"Riehenstrasse 315, 4058 Basel",4058,Basel
Basel - Flughafenstrasse,"Flughafenstrasse 100, 4056 Basel",4056,Basel
Basel - Gundelitor,"Güterstrasse 180, 4053 Basel",4053,Basel
Basel - Hardstrasse,"Hardstrasse 105, 4052 Basel",4052,Basel
Basel - Inselstrasse,"Inselstrasse 63, 4057 Basel",4057,Basel
Basel - Juniors Market,"Grenzacherstrasse 62/64, 4058 Basel",4058,Basel
Basel - Lachenstrasse,"Lachenstrasse 1, 4056 Basel",4056,Basel
Basel - Märtplatz,"Eisengasse 12, 4051 Basel",4051,Basel
Basel - Mülhauser,"Mülhauserstrasse 70-72, 4056 Basel",4056,Basel
Basel - Neuweiler,"Neuweilerplatz 7, 4054 Basel",4054,Basel
Basel - Schützenmatt,"Schützenmattstrasse 27, 4051 Basel",4051,Basel
Basel - Stücki,"Hochbergerstrasse 70, 4057 Basel",4057,Basel
Basel - Wanderstrasse,"Wanderstrasse 121, 4054 Basel",4054,Basel
Basel - Wasgenring,"Blotzheimerstrasse 61, 4055 Basel",4055,Basel
Basel - Zürcherstrasse,"Zürcherstrasse 160, 4052 Basel",4052,Basel
Basel Hochbergerstrasse,"Hochbergstrasse 106, 4057 Basel",4057,Basel
Basel Weil,"Autobahn Raststätte A2/A5, 4016 Basel",4016,Basel
Bassersdorf,"Baltenswilerstrasse 5a, 8303 Bassersdorf",8303,Bassersdorf
Bauma,"Heinrich - Gujerstrasse 10, 8494 Bauma",8494,Bauma
Bavois,"Autoroute A1, Restoroute de Bavois, 1372 Bavois",,
Bavois-Alpes,"Restoroute de Bavois, 1372 Bavois",1372,Bavois
Bavois-Jura,"Restoroute de Bavois, 1372 Bavois",1372,Bavois
Bazenheid,"Wilerstrasse 17, 9602 Bazenheid",9602,Bazenheid
Beauregard,"Chemin de Béthléem 7, 1700 Fribourg",1700,Fribourg
Belfaux,"route de Lossy 16b, 1782 Belfaux",1782,Belfaux
Bellinzona,"Piazza Rinaldo Simen 8, 6500 Bellinzona",6500,Bellinzona
Bellinzona Nord,"Via San Gottardo 124, 6500 Bellinzona",6500,Bellinzona
Bellinzona-Nord,"Via San Gottardo 104, 6500 Belinzona",6500,Belinzona
Belp,"Steinbachstrasse 28, 3123 Belp",3123,Belp
Berikon - Mutschellen,"Bellikerstrasse 13, 8965 Berikon",8965,Berikon
Beringen,"Schaffhauserstrasse 72, 8222 Beringen",8222,Beringen
Bern - Bachmätteli,"Bottigenstrasse 7, 3018 Bern",3018,Bern
Bern - Bahnhof,"Bahnhofplatz 10, 3011 Bern",3011,Bern
Bern - Bahnhof Take Away,"Bahnhofplatz 10, 3011 Bern",3011,Bern
Bern - Bethlehem,"Riedbachstrasse 10, 3027 Bern",3027,Bern
Bern - Breitenrain,"Breitenrainstrasse 11, 3013 Bern",3013,Bern
Bern - Bubenberg,"Bubenbergplatz 8, 3011 Bern",3011,Bern
Bern - Bümpliz,"Bümplizstrasse 8, 3027 Bern",3027,Bern
Bern - Christoffel,"Christoffelunterführung, 3011 Bern",3011,Bern
Bern - Egghölzli,"Egghölzlistrasse 1 / 1a, 3006 Bern",3006,Bern
Bern - Eigerplatz,"Seftigenstrasse 1, 3007 Bern",3007,Bern
Bern - Fellerstrasse,"Fellerstrasse 33, 3027 Bern",3027,Bern
Bern - Freudenberg,"Giacomettistrasse 15, 3006 Bern",3006,Bern
Bern - Höhe,"Morgenstrasse 10, 3018 Bern",3018,Bern
Bern - Kirchenfeld,"Thunstrasse 18, 3005 Bern",3005,Bern
Bern - Lorraine,"Dammweg 9, 3013 Bern",3013,Bern
Bern - Marktgasse,"Marktgasse 46, 3011 Bern",3011,Bern
