Store Name,Full Address,ZIP Code,Town
Flamatt - Bernstrasse 50,"Bernstrasse 50, 3175 Flamatt",3175,Flamatt
Flawil,"Magdenauerstrasse 10, 9230 Flawil",9230,Flawil
Fleurier,"Grand-Rue 27, 2114 Fleurier",2114,Fleurier
Flums,"Lochrietstrasse 27, 8890 Flums",8890,Flums
Forch,"Forchstrasse, 8127 Forch",8127,Forch
Fornasette,"Via Cantonale 128, 6998 Monteggio",6998,Monteggio
Frauenfeld - Bahnhofstrasse,"Bahnhofplatz 75, 8500 Frauenfeld",8500,Frauenfeld
Frauenfeld - Multiplex,"Langfeldstrasse 53a, 8500 Frauenfeld",8500,Frauenfeld
Frauenfeld - Passage,"Bahnhofplatz 72, 8500 Frauenfeld",8500,Frauenfeld
Frauenfeld - Zürcherstrasse 276,"Zürcherstrasse 276, 8500 Frauenfeld",8500,Frauenfeld
Frauenfeld - Zürcherstrasse 291,"Zürcherstrasse 291, 8500 Frauenfeld",8500,Frauenfeld
Freienbach,"Kantonsstrasse 149, 8807 Freienbach",8807,Freienbach
Frenkendorf,"Güterstrasse 1, 4402 Frenkendorf",4402,Frenkendorf
Fribourg AMAG,"Route de Villars 108, 1752 Villars-sur-Glâne",1752,Villars-sur-Glâne
Fribourg Jura,"Route du Jura 73, 1700 Fribourg",1700,Fribourg
Frick,"Hauptstrasse 44, 5070 Frick",5070,Frick
Frutigen,"Kanderstegstrasse 31, 3714 Frutigen",3714,Frutigen
Fully,"Rue de Provence 4, 1926 Fully",1926,Fully
Fällanden,"Unterdorfstrasse 2, 8117 Fällanden",8117,Fällanden
Füllinsdorf,"Rheinstrasse 46, 4414 Füllinsdorf",4414,Füllinsdorf
Füllinsdorf - Schönthal,"Ergolzstrasse 2, 4414 Füllinsdorf",4414,Füllinsdorf
Gandria,"Via Cantonale 14, 6978 Gandria",6978,Gandria
Gare Fribourg,"Rue Louis-d'Affry 2, 1701 Fribourg",1701,Fribourg
Gare de Bulle,"Place de la Gare, 1630 Bulle",1630,Bulle
Gd Saconnex - Le Pommier,"Rue Sonnex 20, 1218 Le Grand-Saconnex",1218,Le Grand-Saconnex
Gebenstorf,"Wambisterstrasse, 5412 Gebenstorf",5412,Gebenstorf
Gelterkinden,"Badweg 2, 4460 Gelterkinden",4460,Gelterkinden
Genestrerio,"Via Canova 7, 6852 Genestrerio",6852,Genestrerio
Genève - Balexert,"Avenue Louis-Casaï 27, 1211 Genève 28",1211,Genève 28
Genève - Champel,"Avenue de Champel 61, 1206 Genève",1206,Genève
Genève - Charmilles,"Promenade de l'Europe 11, 1203 Genève",1203,Genève
Genève - Cointrin,"Avenue Louis-Casaï 73, 1216 Cointrin",1216,Cointrin
Genève - Cointrin Aéroport,"Route de l'Aéroport 25, 1215 Genève 15 Aéroport",1215,Genève 15 Aéroport
Genève - Cornavin Gare,"Place de Cornavin 3-7, 1201 Genève",1201,Genève
Genève - Eaux-Vives,"Rue des Eaux-Vives 17-19, 1207 Genève",1207,Genève
Genève - Fusterie M-Express,"Place de la Fusterie 7, 1204 Genève",1204,Genève
Genève - Jonction,"Boulevard Carl-Vogt 6, 1205 Genève",1205,Genève
Genève - Les Cygnes,"Rue de Lausanne 18-20, 1201 Genève",1201,Genève
Genève - Navigation,"Rue des Paquis 41, 1201 Genève",1201,Genève
Genève - Plainpalais,"Rue de Carouge 64, 1205 Genève",1205,Genève
Genève - Rieu,"Route de Florissant 86, 1206 Genève",1206,Genève
Genève - Tourelle,"Chemin de la Tourelle 2-4, 1209 Genève",1209,Genève
Genève - Vidollet,"Rue du Vidollet 5, 1202 Genève",1202,Genève
Genève - Villereuse,"Rue de la Terrassière 29, 1207 Genève",1207,Genève
Genève Montbrillant,"Rue de Montbrillant 67, 1202 Genève",1202,Genève
Genève O’Vives,"Avenue de la Gare des Eaux-Vives 11, 1201 Genève",1201,Genève
Gerlafingen,"Friedhofstrasse 1, 4563 Gerlafingen",4563,Gerlafingen
Giubiasco,"Via Bellinzona 33, 6512 Giubiasco",6512,Giubiasco
Givisiez,"Impasse de la Colline 2, 1762 Givisiez",1762,Givisiez
Gland,"Rue de Mauverney 22, 1196 Gland",1196,Gland
Gland Outlet,"Suisse 41, 1196 Gland",1196,Gland
Glarus,"Bahnhofplatz 2, 8750 Glarus",8750,Glarus
Glarus - Zentrum Glärnisch,"Schweizerhofstrasse 6, 8750 Glarus",8750,Glarus
Glattbrugg,"Wallisellerstrasse 8, 8152 Glattbrugg",8152,Glattbrugg
Glis - Simplon,"Kantonsstrasse 58, 3902 Glis",3902,Glis
Goldach,"Ulrich-Rösch-Strasse 5, 9403 Goldach",9403,Goldach
Goldach - St.Gallerstr.,"St. Gallerstrasse 34, 9403 Goldach",9403,Goldach
Goldau,"Parkstrasse 25, 6410 Goldau",6410,Goldau
Gossau,"St. Gallerstrasse 115, 9200 Gossau SG",9200,Gossau SG
Gossau - Stadtbühlpark,"Stadtbühlstrasse 12, 9200 Gossau SG",9200,Gossau SG
Gossau - Wilerstrasse,"Wilerstrasse 90, 9200 Gossau SG",9200,Gossau SG
Gossau Outlet,"Industriestrasse 135, 9201 Gossau SG",9201,Gossau SG
Gossau ZH,"Im Zentrum 3, 8625 Gossau ZH",8625,Gossau ZH
Grabs,"Staatsstrasse 89, 9472 Grabs",9472,Grabs
Gradelle,"Chemin de la Gradelle 10, 1224 Chêne-Bougeries",1224,Chêne-Bougeries
Grancia,"Via Cantonale 28, 6916 Grancia",6916,Grancia
Grand-Lancy - Palettes,"Av. des Communes-Réunies 52, 1212 Grand-Lancy",1212,Grand-Lancy
Grande Béroche,"Rue de Combamare 21, 2025 Chez-Le-Bart",2025,Chez-Le-Bart
Granges - Paccot,"Route d'Englisberg 15b, 1763 Granges-Paccot",1763,Granges-Paccot
Granges-Paccot,"Route de Morat 130, 1763 Granges-Paccot",1763,Granges-Paccot
Greifensee,"Meierwis, 8606 Greifensee",8606,Greifensee
Grenchen,"Freiestrasse 10, 2540 Grenchen",2540,Grenchen
Grenchen Nord,"Nordbahnhofstrasse 43, 2540 Grenchen",2540,Grenchen
Grenchen Outlet,"Maienstrasse 6, 2540 Grenchen",2540,Grenchen
Grienbachstrasse Zug,"Grienbachstrasse 11, 6302 Zug",6302,Zug
Gruyère-Centre,"Rue Château d'En-Bas 2, 1630 Bulle",1630,Bulle
Gränichen,"Lindenplatz 2, 5722 Gränichen",5722,Gränichen
Gstaad,"Untergstaadstrasse 3, 3780 Gstaad",3780,Gstaad
Gümligen,"Turbenweg 1, 3073 Gümligen",3073,Gümligen
Hasle Rüegsau,"Emmenau 3, 3415 Hasle-Rüegsau",3415,Hasle-Rüegsau
Haute-Nendaz,"Lake Placid, rte des Ecluses 23, 1997 Haute-Nendaz",,
Hauterive,"Rte des Rouges-Terres 22-24, 2068 Hauterive NE",2068,Hauterive NE
Heiden,"Sonnentalstrasse 2, 9410 Heiden",9410,Heiden
Heimberatung,"Neugutstrasse 83, 8600 Dübendorf",8600,Dübendorf
Heimberg,"Bernstrasse 223, 3627 Heimberg",3627,Heimberg
Herisau,"Gartenstrasse 2, 9100 Herisau",9100,Herisau
Herisau - Alpsteinstrasse,"Alpsteinstrasse 8b, 9100 Herisau",9100,Herisau
Herrlisberg,"Herrlisberg Süd / A3, 8820 Wädenswil",8820,Wädenswil
Herzogenbuchsee,"Bernstrasse 33, 3360 Herzogenbuchsee",3360,Herzogenbuchsee
Hilterfingen,"Staatsstrasse 16b, 3652 Hilterfingen",3652,Hilterfingen
Hinterkappelen - Chappelemärit,"Kappelenring 2, 3032 Hinterkappelen",3032,Hinterkappelen
Hinwil,"Bachtelstrasse 16, 8340 Hinwil",8340,Hinwil
Hittnau,"Jakob Stutz-Strasse 75, 8335 Hittnau",8335,Hittnau
Hitzkirch,"Richensee 2, 6285 Hitzkirch",6285,Hitzkirch
Hochdorf - Seetal-Center,"Hauptstrasse 5, 6280 Hochdorf",6280,Hochdorf
Hombrechtikon,"Rütistrasse 16, 8634 Hombrechtikon",8634,Hombrechtikon
Home Uster,"Zürichstrasse 20, 8610 Uster",8610,Uster
Horgen - Schinzenhof,"Alte Landstrasse 24, 8810 Horgen",8810,Horgen
Horn,"Seestrasse 119, 9326 Horn",9326,Horn
Horw,"Gemeindehausplatz 14+15, 6048 Horw",6048,Horw
Hunzenschwil,"Hauptstrasse 43, 5502 Hunzenschwil",5502,Hunzenschwil
Huttwil,"Bernstrasse 6, 4950 Huttwil",4950,Huttwil
Hägendorf Outlet,"Industriestrasse West 40/42, 4614 Hägendorf",4614,Hägendorf
Hôpital,"Rue de l'Hôpital 12, 2000 Neuchâtel",2000,Neuchâtel
Hünenberg Dorf,"Maihölzli 5, 6331 Hünenberg",6331,Hünenberg
Hünibach,"Staatsstrasse 134, 3626 Hünibach",3626,Hünibach
Ibach,"Mythen-Centerstrasse 15, 6438 Ibach",6438,Ibach
Ibach-Schwyz - Mythen-Center,"Mythen-Centerstr. 18, 6438 Ibach",6438,Ibach
Ilanz - Center Marcau,"Poststrasse 4, 7130 Ilanz",7130,Ilanz
Interlaken,"Rugenparkstrasse 1, 3800 Interlaken",3800,Interlaken
Interlaken Lindenalle,"Lindenallee 98, 3800 Interlaken",3800,Interlaken
Ipsach,"Dorfstrasse 1, 2563 Ipsach",2563,Ipsach
Ittigen,"Talweg 6, 3063 Ittigen",3063,Ittigen
Ittigen - Grauholz,"Grauholz-Süd A1, 3063 Ittigen",3063,Ittigen
Jona,"St.Gallerstrasse 84, 8645 Jona",8645,Jona
Jona - Stadttor,"Molkereistrasse 5, 8645 Jona",8645,Jona
Kaltbrunn,"Uznacherstrasse 1, 8722 Kaltbrunn",8722,Kaltbrunn
Kerzers,"Murtenstrasse 15, 3210 Kerzers",3210,Kerzers
Kirchberg,"Solothurnstrasse 17a, 3422 Kirchberg BE",3422,Kirchberg BE
Kirchberg-Stelz,"Wilerstrasse 204, 9533 Kirchberg",9533,Kirchberg
Kloten,"Kirchgasse 5, 8302 Kloten",8302,Kloten
Kollbrunn,"Tösstalstrasse 24, 8483 Kollbrunn",8483,Kollbrunn
Konolfingen,"Thunstrasse 17, 3510 Konolfingen",3510,Konolfingen
Kreuzlingen,"Hauptstrasse 63, 8280 Kreuzlingen",8280,Kreuzlingen
Kreuzlingen - Seepark,"Bleichestrasse 15, 8280 Kreuzlingen",8280,Kreuzlingen
Kriens,"Mattenhof, 6010 Kriens",6010,Kriens
Kriens - Hofmatt,"Luzernerstrasse 30, 6010 Kriens",6010,Kriens
Kriens - Mattenhof,"Am Mattenhof 2, 6010 Kriens",6010,Kriens
Köniz - Bläuacker,"Bläuacker 10, 3098 Köniz",3098,Köniz
Küsnacht Berg,"Seestrasse 139, 8700 Küsnacht ZH",8700,Küsnacht ZH
Küsnacht ZH,"Zürichstrasse 149, 8700 Küsnacht ZH",8700,Küsnacht ZH
Küssnacht - Rigimärt,"Siegwartstrasse 11, 6403 Küssnacht am Rigi",6403,Küssnacht am Rigi
La Neuveville,"Chemin des Vergers 20, 2520 La Neuveville",2520,La Neuveville
La Roche,"Haut de Scherwil 2, 1634 La Roche",1634,La Roche
La Tour-de-Peilz,"Place des Anciens-Fossés 10B, 1814 La Tour-de-Peilz",1814,La Tour-de-Peilz
La Tour-de-Trême,"Route de Pra Riond 4, 1635 La Tour-de-Trême",1635,La Tour-de-Trême
La Tour-de-Trême Tivoli,"Rue de l'Ancien Comté 17b, 1635 La Tour-de-Trême",1635,La Tour-de-Trême
La Vallée,"Rue de la Gare 7, 1347 Le Sentier",1347,Le Sentier
Lachen,"Feldstrasse 6, 8853 Lachen",8853,Lachen
Lancy-Onex,"Rue des Bossons 78-80, 1213 Petit-Lancy",1213,Petit-Lancy
Landquart,"Bahnhofstrasse 54, 7302 Landquart",7302,Landquart
Langendorf - Ladedorf,"Fabrikstrasse 6, 4513 Langendorf",4513,Langendorf
Langenthal,"Wiesenstrasse 28, 4900 Langenthal",4900,Langenthal
Langenthal - MParc,"Murgenthalstrasse 17, 4900 Langenthal",4900,Langenthal
Langnau a. A.,"Hintere Grundstrasse 2, 8135 Langnau am Albis",8135,Langnau am Albis
Langnau i.E.,"Schlossstrasse 1a, 3550 Langnau i. E.",3550,Langnau i. E.
Laufen - Birscenter,"Bahnhofstrasse 4, 4242 Laufen",4242,Laufen
Lausanne,"Av. des Figuires 32, 1007 Lausanne",1007,Lausanne
Lausanne - Bellevaux,"Route Aloys-Fauquez 97, 1018 Lausanne",1018,Lausanne
Lausanne - Bergières,"Avenue des Bergières 50, 1004 Lausanne",1004,Lausanne
Lausanne - Chailly,"Avenue de la Vallonnette 2, 1012 Lausanne",1012,Lausanne
Lausanne - Closelet,"Avenue d'Ouchy 11, 1006 Lausanne",1006,Lausanne
Lausanne - Cour,"Avenue de Cour 36, 1007 Lausanne",1007,Lausanne
Lausanne - Flon Europe,"Place de l'Europe 8, 1003 Lausanne",1003,Lausanne
Lausanne - La Borde,"Rue de la Borde 3B, 1018 Lausanne",1018,Lausanne
Lausanne - La Harpe,"Avenue de la Harpe 17, 1007 Lausanne",1007,Lausanne
Lausanne - La Sallaz,"Route de Berne 1, 1010 Lausanne",1010,Lausanne
Lausanne - Montbenon,"Chemin de Mornex 36, 1003 Lausanne",1003,Lausanne
Lausanne - Métropole,"Rue des Terreaux 25, 1003 Lausanne",1003,Lausanne
Lausanne - Saint-Paul,"Avenue d'Echallens 63, 1004 Lausanne",1004,Lausanne
Lausanne - Sévelin,"Av. de Sévelin 2 Ab, 1007 Lausanne",1007,Lausanne
Le Bouveret,"En Bellossy, 1897 Bouveret",1897,Bouveret
Le Châble,"Route de Verbier 11, 1934 Le Châble VS",1934,Le Châble VS
Le Landeron,"Route de Neuchâtel 40, 2525 Le Landeron",2525,Le Landeron
Le Lignon,"Place du Lignon 29 A, 1219 Le Lignon",1219,Le Lignon
Le Locle,"Rue Bournot 35, 2400 Le Locle",2400,Le Locle
Lehenmatt,"Lehenmattstrasse 260, 4052 Basel",4052,Basel
Lenzburg,"Bachstrasse 15, 5600 Lenzburg",5600,Lenzburg
Lenzburg - Bahnhof,"Bahnhofstrasse 50, 5600 Lenzburg",5600,Lenzburg
Les Cadolles,"Rue du Plan 32, 2000 Neuchâtel",2000,Neuchâtel
Les Eplatures,"Charles Naine 44, 2300 La Chaux-de-Fonds",2300,La Chaux-de-Fonds
Leuk,"Konsumgenossenschaft, 3953 Leuk Stadt",3953,Leuk Stadt
Leukerbad,"Thermenstrasse 32, 3954 Leukerbad",3954,Leukerbad
Liestal,"Kasernenstrasse 1, 4410 Liestal",4410,Liestal
Ligornetto,"Via Cantinetta, 6853 Ligornetto",6853,Ligornetto
Littau Outlet,"Fanghöfli 14, 6014 Luzern",6014,Luzern
Locarno,"Via Stefano Franscini 31, 6600 Locarno",6600,Locarno
Losone,"Via dei Pioppi 2, 6616 Losone",6616,Losone
Lostorf,"Hauptstrasse 20, 4654 Lostorf",4654,Lostorf
Lugano,"Via Pretorio 15, 6900 Lugano",6900,Lugano
Lugano - Via Trevano,"Via Trevano 69, 6900 Lugano",6900,Lugano
Lugano-Viganello,"Via al Lido 11, 6962 Viganello",6962,Viganello
Lupfig,"Flachsacherstrasse 17, 5242 Lupfig",5242,Lupfig
Lutry – La Conversion,"Route de la Conversion 314, 1093 La Conversion",1093,La Conversion
Luzern - Allmend,"Zihlmattweg 46, 6005 Luzern",6005,Luzern
Luzern - Bahnhof,"Zentralstrasse 1, 6003 Luzern",6003,Luzern
Luzern - Bahnhof Daily,"Zentralstrasse 7, 6003 Luzern",6003,Luzern
Luzern - Bruchstrasse,"Bruchstrasse 18, 6003 Luzern",6003,Luzern
Luzern - Brüelstrasse,"Kreuzbuchstrasse 53, 6006 Luzern",6006,Luzern
Luzern - Grossmatte,"Luzernerstrasse 143, 6014 Luzern",6014,Luzern
Luzern - Schlossberg,"Friedentalstrasse 6, 6004 Luzern",6004,Luzern
Luzern - Schweizerhof,"Hertensteinstrasse 9, 6004 Luzern",6004,Luzern
Luzern - Schönbühl,"Langensandstr. 23, 6005 Luzern",6005,Luzern
Luzern - Waldstätter,"Winkelriedstrasse 58, 6003 Luzern",6003,Luzern
Luzern - Würzenbachstrasse,"Würzenbachstrasse 19, 6006 Luzern",6006,Luzern
Lyss Lyssbachpark,"Steinweg 28, 3250 Lyss",3250,Lyss
MP La Sarraz,"Chemin des Prés-Morés 2, 1315 La Sarraz",1315,La Sarraz
MP Ouchy,"Avenue de Rhodanie 2, 1007 Lausanne",1007,Lausanne
Maggia,"Via Cantonale, 6673 Maggia",6673,Maggia
Malters,"Weihermatte 7a/7b, 6102 Malters",6102,Malters
Manno,"Strada Cantonale 25, 6928 Manno",6928,Manno
Marché FR,"Rue St-Pierre 2, 1700 Fribourg",1700,Fribourg
Marin,"Route des Perveuils 2, 2074 Marin-Epagnier",2074,Marin-Epagnier
Marin Centre,"Rue Fleur-de-Lys 26, 2074 Marin-Epagnier",2074,Marin-Epagnier
Marly,"Route des Pralettes 1, 1723 Marly",1723,Marly
Martigny,"Rue des Avouillons 3, 1920 Martigny",1920,Martigny
Martigny - Manoir,"Rue du Manoir 1, 1920 Martigny",1920,Martigny
Martigny Avouillons,"Rue des Avouillons 8, 1920 Martigny",1920,Martigny
Martigny Quartz Center,"Avenue de Fully 63, 1920 Martigny",1920,Martigny
Matten,"Aegertiweg 33, 3812 Wilderswil",3812,Wilderswil
Matzingen,"Frauenfelderstrasse 95, 9548 Matzingen",9548,Matzingen
Maupas,"Rue du Maupas 69, 1004 Lausanne",1004,Lausanne
Meggen,"Gotthardstrasse 45, 6045 Meggen",6045,Meggen
Meilen,"Rosengartenstrasse 10, 8706 Meilen",8706,Meilen
Meiringen,"Bahnhofstrasse 1, 3860 Meiringen",3860,Meiringen
Melano,"Via Cantonale 89, 6818 Melano",6818,Melano
Mellingen,"Lenzburgerstrasse 50, 5507 Mellingen",5507,Mellingen
Mels - Pizolpark,"Grossfeldstrasse 56, 8879 Mels",8879,Mels
Mendrisio,"Via L. Lavizzari 2, Piazza alla Valle, 6850 Mendrisio",,
Mendrisio - Via Franscini,"Via Stefano Franscini 2, 6850 Mendrisio",6850,Mendrisio
Mendrisio-Via Zorzi,"Via Franco Zorzi 4, 6850 Mendrisio",6850,Mendrisio
Menziken,"Sagiweg 8, 5737 Menziken",5737,Menziken
Meyrin,"Avenue de Feuillasse 24, 1217 Meyrin",1217,Meyrin
Meyrin-Parc,"Avenue de Mategnin 45, 1217 Meyrin",1217,Meyrin
Mies,"Route Suisse 3, 1295 Mies",1295,Mies
Migrol Brig,"Weidenweg 272, 3902 Glis",3902,Glis
Migrol Herzogenbuchsee,"Zürichstrasse 52, 3360 Herzogenbuchsee",3360,Herzogenbuchsee
Migrol Lyss,"Kirchenfeldstrasse 34, 3250 Lyss",3250,Lyss
Migrol Roggwil,"Bahnhofstrasse 99, 4914 Roggwil BE",4914,Roggwil BE
Migrol Spreitenbach,"Industriestrasse 160 + 162, 8957 Spreitenbach",8957,Spreitenbach
Migrol Würenlingen,"Döttingerstrasse 1, 5303 Würenlingen",5303,Würenlingen
Migrol mio Oberengstringen,"Zürcherstrasse 158, 8102 Oberengstringen",8102,Oberengstringen
Migrol mio ZH-Winterthurerst,"Winterthurerstrasse 692, 8051 Zürich",8051,Zürich
Migros Online-Beratung,"Industriestr. 20, 3321 Schönbühl Einkaufszentrum",3321,Schönbühl Einkaufszentrum
Minusio,"Via S.Gottardo 56, 6648 Minusio",6648,Minusio
Molino Nuovo,"Via Monte Boglia 5, 6900 Lugano",6900,Lugano
Montagny,"En Chamard, 1442 Montagny-près-Yverdon",1442,Montagny-près-Yverdon
Monthey - M Central,"Avenue de la Gare 36, 1870 Monthey",1870,Monthey
Montreux,"Place du Marché 6, 1820 Montreux",1820,Montreux
Morat,"Bernstrasse 18, 3280 Morat",3280,Morat
Morges,"Rue de la gare 19, 1110 Morges",1110,Morges
Moudon,"Avenue de la Grande Fin 1, 1510 Moudon",1510,Moudon
Moutier,"Rue de l'Ecluse 1, 2740 Moutier",2740,Moutier
Murgenthal,"Fahrackerstrasse 1, 4853 Murgenthal",4853,Murgenthal
Muri AG,"Kirchfeldstrasse 8, 5630 Muri AG",5630,Muri AG
Muttenz,"St.Jakobstrasse 75, 4132 Muttenz",4132,Muttenz
Muttenz - Lutzert,"Lutzertstrasse 40, 4132 Muttenz",4132,Muttenz
Muttenz - Rothausstrasse,"Rothausstrasse 17, 4132 Muttenz",4132,Muttenz
Männedorf,"Alte Landstrasse 262, 8708 Männedorf",8708,Männedorf
Métropole Centre,"Rue Daniel-Jeanrichard 23, 2300 La Chaux-de-Fonds",2300,La Chaux-de-Fonds
Mézières,"Route de la Croix d'Or 2, 1083 Mézières VD",1083,Mézières VD
Möhlin,"Hauptstrasse 91, 4313 Möhlin",4313,Möhlin
Müllheim,"Thurstrasse 3, 8555 Müllheim",8555,Müllheim
Münchenbuchsee,"Bernstrasse 14, 3053 Münchenbuchsee",3053,Münchenbuchsee
Münchenstein,"Bruderholzstrasse 43, 4142 Münchenstein",4142,Münchenstein
Münchenstein - Gartenstadt,"Kaspar Pfeiffer-Strasse 2, 4142 Münchenstein",4142,Münchenstein
Münchwilen,"Wilerstrasse 5, 9542 Münchwilen",9542,Münchwilen
Münsingen,"Bahnhofplatz 5, 3110 Münsingen",3110,Münsingen
Naters,"Kelchbachstrasse 16, 3904 Naters",3904,Naters
Netstal,"Breite 4, 8754 Netstal",8754,Netstal
Neuenhof,"Zürcherstrasse 113, 5432 Neuenhof",5432,Neuenhof
Neuenkirch,"Luzernstrasse 16, 6206 Neuenkirch",6206,Neuenkirch
Neuhausen,"Im RhyTech 4, 8212 Neuhausen",8212,Neuhausen
Neuhausen am Rheinfall,"Schaffhauserstrasse 38, 8212 Neuhausen am Rheinfall",8212,Neuhausen am Rheinfall
Neunkirch,"Löhningerstrasse 4, 8213 Neunkirch",8213,Neunkirch
Neydens (F),"500, route des Envignes 74, 74 160 Neydens",,
Neyruz,"Place de la Gare 10, 1740 Neyruz",1740,Neyruz
Nidau,"Lyssstrasse 15, 2560 Nidau",2560,Nidau
Niederhasli,"Dorfstrasse 20, 8155 Niederhasli",8155,Niederhasli
Niederurnen,"Ziegelbrückstrasse 21, 8867 Niederurnen",8867,Niederurnen
Noranco,"Via Pian Scairolo 48, 6915 Pambio-Noranco",6915,Pambio-Noranco
Novazzano-Brusata1,"Via Cios 5, 6883 Novazzano",6883,Novazzano
Novazzano-Brusata2,"Via Cios 4, 6883 Novazzano",6883,Novazzano
Novazzano-Paese,"Via Marcetto 33, 6883 Novazzano",6883,Novazzano
Noville,"Route du Simplon, 1845 Noville",1845,Noville
Nussbaumen - Markthof,"Schulstrasse 2, 5415 Nussbaumen b.Baden",5415,Nussbaumen b.Baden
Nyon,"Impasse de Champ-Colin 12, 1260 Nyon",1260,Nyon
Nyon - La Combe,"Rue de la Morâche 6, 1260 Nyon",1260,Nyon
Nyon - Porte de Nyon,"chemin de la Fontaine 1, 1260 Nyon",1260,Nyon
Näfels,"Oberdorf 44, 8752 Näfels",8752,Näfels
Nürensdorf,"Alte Winterthurerstrasse 7, 8309 Nürensdorf",8309,Nürensdorf
Oberburg,"Emmentalstrasse 166, 3414 Oberburg",3414,Oberburg
Oberengstringen,"Im Zentrum 2, 8102 Oberengstringen",8102,Oberengstringen
Oberglatt,"Lägernstrasse 6, 8154 Oberglatt ZH",8154,Oberglatt ZH
Oberkirch,"Luzernstrasse 36, 6208 Oberkirch LU",6208,Oberkirch LU
Obermeilen,"Seestrasse 801, 8706 Meilen",8706,Meilen
Oberrieden,"Alte Landstrasse 37, 8942 Oberrieden",8942,Oberrieden
Oberriet,"Staatsstrasse 56, 9463 Oberriet",9463,Oberriet
Oberwil,"Mühlemattstrasse 18, 4104 Oberwil",4104,Oberwil
Oensingen,"Mühlefeldstrasse 53, 4702 Oensingen",4702,Oensingen
Oftringen,"Zürichstrasse 2, 4665 Oftringen",4665,Oftringen
Oftringen - MParc,"Ackerweg 2, 4665 Oftringen",4665,Oftringen
Olten - Aarburgerstr.,"Aarburgerstr. 115, 4600 Olten",4600,Olten
Olten - Hammer,"Solothurnerstrasse 21, 4600 Olten",4600,Olten
Olten - Sälipark,"Louis Giroud-Strasse 20, 4600 Olten",4600,Olten
Olten - Sälipark Fachmärkte,"Louis Giroud-Strasse 25, 4600 Olten",4600,Olten
Olten - Tannwaldstrasse,"Tannwaldstrasse 48, 4600 Olten",4600,Olten
Onex,"Route de Chancy 113, 1213 Onex",1213,Onex
Opfikon,"Hagenholzstrasse 119, 8152 Glattbrugg",8152,Glattbrugg
Opfikon - Glattpark,"Thurgauerstrasse 106, 8152 Opfikon",8152,Opfikon
Orbe,"Rue des Terreaux 22, 1350 Orbe",1350,Orbe
Orbe Gruvatiez,"Route des Granges-Martin 22, 1350 Orbe",1350,Orbe
Oron-la-Ville,"Route de Lausanne 2, 1610 Oron-la-Ville",1610,Oron-la-Ville
Ostermundigen,"Bernstrasse 114, 3072 Ostermundigen",3072,Ostermundigen
Ostermundigen Poststrasse,"Poststr. 1, 3072 Ostermundigen 1",3072,Ostermundigen 1
Othmarsingen,"Ahornweg 14, 5504 Othmarsingen",5504,Othmarsingen
Outlet Bachenbülach,"Parkallee Grabenstrasse, 8184 Bachenbülach",8184,Bachenbülach
Outlet Bellinzona,"Via Franco Zorzi, 6500 Bellinzona",6500,Bellinzona
Outlet Eglisau,"Sandgruebstrasse 1, 8193 Eglisau",8193,Eglisau
Outlet Quartz,"Avenue de Fully, 1920 Martigny",1920,Martigny
Outlet Romanel,"rte de Neuchâtel 10, 1032 Romanel-sur-Lausanne",1032,Romanel-sur-Lausanne
Outlet Taverne,"Via Brüsighell 6, 6807 Taverne",6807,Taverne
Outlet Tourbillon,"Avenue Grand-Champsec 30, 1950 Sion",1950,Sion
Outlet Winterthur,"Industriestrasse 8, 8404 Winterthur",8404,Winterthur
Paradiso,"Via Geretta, 6902 Lugano",6902,Lugano
Payerne,"Rue du Temple 19, 1530 Payerne",1530,Payerne
Peseux,"Rue Jämes-Paris 4, 2034 Peseux",2034,Peseux
Pfungen,"Weiacherstrasse 1, 8422 Pfungen",8422,Pfungen
Pfäffikon - Seedammcenter,"Gwattstrasse 11, 8808 Pfäffikon SZ",8808,Pfäffikon SZ
Pfäffikon ZH,"Turmstrasse 9, 8330 Pfäffikon",8330,Pfäffikon
Plaffeien,"Obere Matte 9, 1716 Plaffeien",1716,Plaffeien
Plan-les-Ouates,"Route de Saint-Julien 176, 1228 Plan-les-Ouates",1228,Plan-les-Ouates
Pont-Rouge,"Esplanade de Pont-Rouge 2, 1212 Grand-Lancy",1212,Grand-Lancy
Pontaise,"Avenue Jomini 11, 1018 Lausanne",1018,Lausanne
Ponte Cremenaga,"Via Cantonale 59, 6998 Monteggio",6998,Monteggio
Porrentruy,"Faubourg St Germain 2, 2900 Porrentruy",2900,Porrentruy
Porte de Versoix,"Chemin de l'ancien péage 1, 1290 Versoix",1290,Versoix
Portes-Rouges,"Avenue des Portes-Rouges 46, 2000 Neuchâtel",2000,Neuchâtel
Pratteln,"Burggartenstrasse 21, 4133 Pratteln",4133,Pratteln
Pratteln-Gehrenacker,"Gehrenackerstrasse 7, 4133 Pratteln",4133,Pratteln
Pregassona,"Via alla Bozzoreda 39, 6963 Pregassona",6963,Pregassona
Prilly,"Route de Cossonay 9, 1008 Prilly",1008,Prilly
Prilly - Malley,"Chemin du Viaduc 1, 1008 Prilly",1008,Prilly
Prilly - rte de Cossonay,"Rte de Cossonay 66, 1008 Prilly",1008,Prilly
Préverenges,"Chemin du Vuasset 2, 1028 Préverenges",1028,Préverenges
Puidoux,"Chemin de Publoz 11, 1070 Puidoux",1070,Puidoux
